epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1706.97,0.53271,0.49879,1.00877,0.91092,0.83878,0.92129,0.85794,0.35369,0.35585,0.87303,0.0088219,0.0088219,0.0088219
121,1720.79,0.52519,0.48662,1.00543,0.92595,0.82505,0.92437,0.86118,0.34574,0.34766,0.8796,0.008812,0.008812,0.008812
122,1734.67,0.52056,0.4843,1.00355,0.91395,0.85851,0.91851,0.85426,0.40903,0.40955,0.92357,0.0088021,0.0088021,0.0088021
123,1748.52,0.52572,0.48932,1.00906,0.89871,0.86686,0.91804,0.84577,0.40066,0.35695,0.90481,0.0087922,0.0087922,0.0087922
124,1762.33,0.51855,0.49225,1.00472,0.91368,0.84235,0.92349,0.85568,0.38001,0.36337,0.88964,0.0087823,0.0087823,0.0087823
125,1776.31,0.51351,0.48917,0.99971,0.89027,0.87434,0.93205,0.85581,0.39678,0.36402,0.90132,0.0087724,0.0087724,0.0087724
126,1790.25,0.53008,0.495,1.00549,0.93147,0.84278,0.93059,0.85961,0.39772,0.36707,0.90617,0.0087625,0.0087625,0.0087625
127,1803.35,0.52888,0.48522,1.00965,0.91173,0.85291,0.92043,0.85862,0.37319,0.3706,0.89448,0.0087526,0.0087526,0.0087526
128,1815.91,0.52197,0.48579,1.00497,0.94431,0.85992,0.93773,0.8642,0.34287,0.33809,0.86876,0.0087427,0.0087427,0.0087427
129,1828.44,0.52345,0.48114,1.00429,0.92941,0.87288,0.93893,0.87565,0.36588,0.33672,0.8864,0.0087328,0.0087328,0.0087328
130,1841.05,0.5228,0.48016,1.00564,0.92016,0.84261,0.92933,0.86197,0.39278,0.40611,0.92737,0.0087229,0.0087229,0.0087229
131,1853.58,0.51474,0.48133,1.00096,0.93847,0.85085,0.93735,0.86461,0.42222,0.33257,0.93389,0.008713,0.008713,0.008713
132,1867.12,0.51992,0.48231,1.00521,0.94759,0.8345,0.923,0.85404,0.34858,0.34599,0.87526,0.0087031,0.0087031,0.0087031
133,1880.97,0.51554,0.47264,1.00201,0.92715,0.87474,0.93377,0.86785,0.38343,0.35853,0.87991,0.0086932,0.0086932,0.0086932
134,1894.85,0.52332,0.48681,1.00738,0.91451,0.88366,0.93799,0.87327,0.3839,0.36797,0.88093,0.0086833,0.0086833,0.0086833
135,1908.73,0.51595,0.47775,0.99752,0.87683,0.87156,0.92735,0.86242,0.3748,0.3678,0.88701,0.0086734,0.0086734,0.0086734
136,1922.58,0.52108,0.47918,1.00131,0.91361,0.88338,0.94223,0.87947,0.3756,0.35442,0.90384,0.0086635,0.0086635,0.0086635
137,1936.47,0.52225,0.48297,0.99864,0.91837,0.86609,0.93256,0.86617,0.38068,0.37622,0.89528,0.0086536,0.0086536,0.0086536
138,1950.35,0.51277,0.47708,1.00317,0.91491,0.86439,0.93505,0.8676,0.36676,0.3559,0.87061,0.0086437,0.0086437,0.0086437
139,1964.34,0.51709,0.47842,1.00353,0.91649,0.83009,0.9179,0.85388,0.38313,0.37473,0.87661,0.0086338,0.0086338,0.0086338
140,1978.29,0.51599,0.48568,0.99574,0.93156,0.87297,0.93621,0.86474,0.36145,0.33651,0.87761,0.0086239,0.0086239,0.0086239
141,1992.22,0.50802,0.47617,0.99264,0.94001,0.85083,0.93312,0.8594,0.35678,0.3319,0.8649,0.008614,0.008614,0.008614
142,2006.31,0.52439,0.47816,1.00412,0.92327,0.85444,0.92616,0.85478,0.35398,0.33689,0.86779,0.0086041,0.0086041,0.0086041
143,2020.34,0.50854,0.46678,0.99638,0.91914,0.87802,0.93761,0.87469,0.33762,0.30952,0.8547,0.0085942,0.0085942,0.0085942
144,2034.21,0.50794,0.46468,0.99711,0.91296,0.87099,0.92858,0.8654,0.37082,0.34494,0.87922,0.0085843,0.0085843,0.0085843
145,2048.16,0.51214,0.46765,0.99723,0.89936,0.87246,0.92742,0.85929,0.38251,0.3502,0.90916,0.0085744,0.0085744,0.0085744
146,2062.17,0.50174,0.45795,0.99199,0.91999,0.86568,0.93915,0.86672,0.38464,0.34417,0.89683,0.0085645,0.0085645,0.0085645
147,2076.05,0.50573,0.45947,0.99772,0.91121,0.86335,0.93952,0.87425,0.35383,0.33367,0.86819,0.0085546,0.0085546,0.0085546
148,2089.95,0.50866,0.46648,0.99523,0.91462,0.8616,0.92467,0.85811,0.34618,0.34768,0.86818,0.0085447,0.0085447,0.0085447
149,2103.88,0.50888,0.45883,0.99645,0.92205,0.8536,0.93481,0.87541,0.42567,0.35464,0.94163,0.0085348,0.0085348,0.0085348
150,2117.81,0.50748,0.45644,0.99535,0.91481,0.86388,0.93016,0.86226,0.40274,0.35209,0.90785,0.0085249,0.0085249,0.0085249
151,2131.76,0.51806,0.46867,1.0034,0.91436,0.85749,0.92566,0.8612,0.40378,0.33673,0.92165,0.008515,0.008515,0.008515
152,2145.55,0.51494,0.46113,0.99992,0.92059,0.87783,0.94062,0.87566,0.39568,0.34158,0.89868,0.0085051,0.0085051,0.0085051
153,2159.26,0.51168,0.45679,0.99827,0.92446,0.87772,0.93849,0.87584,0.38759,0.42711,0.91437,0.0084952,0.0084952,0.0084952
154,2173.01,0.50773,0.46422,0.99686,0.92705,0.8707,0.94066,0.88091,0.38566,0.3872,0.90755,0.0084853,0.0084853,0.0084853
155,2186.82,0.51022,0.46165,0.99696,0.9257,0.87314,0.93813,0.88158,0.35732,0.32929,0.87643,0.0084754,0.0084754,0.0084754
156,2200.78,0.51272,0.46574,0.99893,0.93474,0.86989,0.93497,0.87009,0.42185,0.47596,0.94993,0.0084655,0.0084655,0.0084655
157,2214.63,0.50963,0.46215,0.99665,0.89783,0.84581,0.91687,0.85924,0.39307,0.38882,0.89553,0.0084556,0.0084556,0.0084556
158,2228.52,0.51242,0.46671,0.99811,0.92184,0.84975,0.92309,0.86359,0.34272,0.34219,0.86264,0.0084457,0.0084457,0.0084457
159,2242.4,0.50579,0.46096,0.99405,0.93998,0.8732,0.93902,0.87795,0.34345,0.32697,0.86176,0.0084358,0.0084358,0.0084358
160,2256.27,0.50429,0.46494,0.99571,0.92798,0.87199,0.94044,0.87918,0.38952,0.32196,0.894,0.0084259,0.0084259,0.0084259
161,2270.12,0.51051,0.45643,0.99993,0.93486,0.83042,0.9233,0.86567,0.34075,0.32537,0.86479,0.008416,0.008416,0.008416
162,2283.93,0.50827,0.46293,0.99865,0.9055,0.8716,0.92772,0.87105,0.3269,0.32201,0.85751,0.0084061,0.0084061,0.0084061
163,2297.81,0.50968,0.45317,0.99391,0.94087,0.84654,0.92943,0.86515,0.37823,0.34777,0.89741,0.0083962,0.0083962,0.0083962
164,2311.51,0.49876,0.44665,0.98833,0.91083,0.87962,0.93864,0.87532,0.31821,0.31327,0.86627,0.0083863,0.0083863,0.0083863
