epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2861.27,1.45056,0.94181,1.04037,0.74739,0.72975,0.71124,0.40615,1.53023,1.02181,1.06493,0.000775822,0.000775822,0.000775822
110,2887.4,1.44592,0.94321,1.04635,0.67305,0.70009,0.67064,0.38529,1.54547,1.06127,1.07901,0.00076757,0.00076757,0.00076757
111,2913.37,1.42006,0.92207,1.03675,0.71418,0.7133,0.69737,0.38663,1.60053,1.03313,1.09606,0.000759318,0.000759318,0.000759318
112,2939.18,1.45312,0.95305,1.04784,0.64692,0.77611,0.71946,0.41427,1.53049,1.05601,1.0756,0.000751067,0.000751067,0.000751067
113,2965.27,1.43464,0.9254,1.04316,0.68687,0.72863,0.69187,0.36917,1.63565,1.06349,1.11353,0.000742815,0.000742815,0.000742815
114,2991.18,1.43496,0.92586,1.04457,0.70865,0.74339,0.7153,0.4108,1.57286,1.03837,1.09656,0.000734564,0.000734564,0.000734564
115,3016.98,1.4416,0.93574,1.03965,0.6939,0.73003,0.71109,0.40611,1.50861,1.02062,1.05962,0.000726312,0.000726312,0.000726312
116,3044.26,1.43012,0.91504,1.03346,0.64061,0.78708,0.71414,0.40884,1.59692,1.02654,1.10468,0.00071806,0.00071806,0.00071806
117,3069.71,1.43015,0.93716,1.04342,0.69131,0.72443,0.70843,0.41256,1.46591,1.02907,1.05118,0.000709809,0.000709809,0.000709809
118,3096.44,1.41606,0.91653,1.02864,0.68336,0.74873,0.70945,0.4227,1.41989,0.98314,1.03441,0.000701557,0.000701557,0.000701557
119,3122.25,1.40862,0.91194,1.02797,0.69627,0.75397,0.70489,0.40492,1.55469,1.03713,1.08468,0.000693305,0.000693305,0.000693305
120,3148.21,1.40716,0.90326,1.02975,0.69148,0.76526,0.69505,0.40096,1.54069,1.03655,1.07656,0.000685054,0.000685054,0.000685054
121,3174.4,1.40942,0.90367,1.02868,0.70371,0.74071,0.69772,0.4146,1.495,1.03109,1.05658,0.000676802,0.000676802,0.000676802
122,3200.17,1.4095,0.91965,1.02916,0.7281,0.74392,0.72305,0.43043,1.48098,0.98746,1.04916,0.00066855,0.00066855,0.00066855
123,3226.53,1.40108,0.90296,1.03088,0.68132,0.74981,0.70043,0.42124,1.45926,0.99162,1.04201,0.000660299,0.000660299,0.000660299
124,3253.27,1.41048,0.90515,1.03739,0.67235,0.71097,0.69923,0.38552,1.58147,1.03343,1.08758,0.000652047,0.000652047,0.000652047
